Ra_ItemID	CertNum	Parcel	FaceValue	Bid	Tax Year	IsHomestead	Tax Years Unpaid	Bankruptcy_Flag	Property_Address_1	Property_Address_2	Property_City	Property_Zip
6293530	246	"36-04-11-0069-0000-00380"	228.49		2020	1	2	0	288 NE HOLLYWOOD BLVD		MAYO	32066
6293504	247	"27-03-10-0000-0000-00200"	250.84		2021	1	1	0	919 NW SUMTER AVE		MAYO	32066
6293492	248	"25-05-12-0000-0000-01301"	216.61		2022	1	0	0	796 SE CR 412		MAYO	32066
6293493	252	"25-06-13-MINR-0000-00600"	48.57		2022	0	1	0	SE BIRMAN RD			32008
6293494	253	"25-06-13-MINR-0000-01000"	48.57		2022	0	1	0				     
6293500	262	"26-03-10-0003-0120-00000"	250.81		2022	1	3	0	4349 N CR 53		MAYO	32066
6293502	263	"26-03-10-0003-0121-00000"	250.81		2022	1	1	0	4327 N CR 53		MAYO	32066
6293503	267	"26-06-10-0000-0000-00413"	250.81		2022	1	0	0	172 SW WASHINGTON RD		MAYO	32066
6293505	268	"27-03-10-0000-0000-00200"	250.81		2022	1	1	0	919 NW SUMTER AVE		MAYO	32066
6293429	277	"13-05-11-0013-0200-00020"	255.81		2019	1	3	0	620 SW MARTIN LUTHER KING JR		MAYO	32066
6293433	278	"13-05-11-0013-0210-00020"	255.81		2019	1	3	0	200 SW TAYLOR AVE		MAYO	32066
6293439	279	"13-05-11-0013-0360-00000"	198.16		2019	1	3	0	359 SW WILLOW ST		MAYO	32066
6293446	281	"13-05-11-0013-0400-00020"	255.81		2019	1	3	0	395 SW LAUREL ST		MAYO	32066
6293449	282	"13-05-11-0013-0400-00050"	311.08		2019	1	3	0	392 SW MARTIN LUTHER KING JR		MAYO	32066
6293511	283	"31-05-13-0000-0000-00103"	250.84		2021	1	2	0	305 SE ORIOLE RD		MAYO	32066
6293506	288	"28-04-11-MINR-0000-00100"	39.14		2022	0	1	0				     
6293507	293	"29-05-13-MINR-0000-00600"	40.73		2022	0	1	0				     
6293508	295	"29-06-14-0000-0000-00801"	250.81		2022	1	1	0	215 SE BADGER RD		BRANFORD	32088
6293523	295	"33-04-12-0000-0000-01001"	250.84		2021	0	1	0	743 NE PECAN AVE		MAYO	32066
6293509	297	"30-04-11-0000-0000-00203"	250.81		2022	1	0	0	328 SW GRACELAND RD		MAYO	32066
6293510	300	"30-04-11-0000-0000-01307"	244.59		2022	1	0	0	968 SW GRACELAND RD		MAYO	32066
6293512	304	"31-05-13-0000-0000-00103"	250.81		2022	1	2	0	305 SE ORIOLE RD		MAYO	32066
6293514	309	"31-06-14-0058-00D0-00050"	216.61		2022	1	0	0	2612 SE ARABIAN RD		BRANFORD	32088
6293515	312	"31-07-14-MINR-0000-00300"	38.58		2022	0	1	0				     
6293516	313	"31-07-14-MINR-0000-00400"	45.99		2022	0	1	0				     
6293517	314	"31-07-14-MINR-0000-00500"	41.25		2022	0	1	0				     
6293518	315	"31-07-14-MINR-0000-01000"	38.58		2022	0	1	0				     
6293519	316	"31-07-14-MINR-0000-01200"	39.46		2022	0	1	0				     
6293528	318	"36-04-11-0069-0000-00380"	250.84		2021	1	2	0	288 NE HOLLYWOOD BLVD		MAYO	32066
6293520	321	"32-06-14-MINR-0000-00500"	41.49		2022	0	1	0				     
6293521	323	"33-04-12-0000-0000-01000"	35.63		2022	0	0	0	NE PECAN AVE		MAYO	32066
6293522	324	"33-04-12-0000-0000-01001"	250.81		2022	0	1	0	743 NE PECAN AVE		MAYO	32066
6293524	330	"33-07-14-MINR-0000-00100"	38.11		2022	0	1	0				     
6293525	338	"34-07-14-MINR-0000-00100"	39.27		2022	0	1	0				     
6293526	339	"35-04-10-MINR-0000-00500"	73.66		2022	0	1	0				     
6293527	340	"35-04-10-MINR-0000-00600"	73.66		2022	0	1	0				     
6293529	357	"36-04-11-0069-0000-00380"	250.81		2022	1	2	0	288 NE HOLLYWOOD BLVD		MAYO	32066
