RA_ITEMID	ADVNUM	BLOCK	LOT	QUAL	TOTAL_IN_SALE	PERCENTAGE_BID	PREMIUM_BID
191261	000211	147	19.03		473.01		
191262	000212	148	1		466.92		
191263	000213	148	2		420.24		
191264	000214	148	5		396.18		
191265	000215	148	7		658.04		
191266	000216	148	16		938.4		
191267	000217	150	12		1351.85		
191268	000218	151	7.01		100		
191269	000219	152	10		820.23		
191270	000220	152	11		1814.83		
191271	000221	152	14		155		
191272	000222	152	19		624.14		
191273	000223	153	12		350		
191274	000224	154	3		592.52		
191275	000225	154	11		580.86		
191276	000226	155	4		509.01		
191277	000227	155	15		1364.72		
191278	000228	156	14		220		
191279	000229	157	4		523.44		
191280	000230	159	2		390.95		
191281	000231	159	4		423.72		
191282	000232	160	2		334.47		
191283	000233	164	2		1076.58		
191284	000234	164	3		239.68		
191285	000235	164	6		259.11		
191286	000236	164	11		270.14		
191287	000237	165	2		1758.54		
191288	000238	165	3		10017.91		
191289	000239	166	13		2567.65		
191290	000240	167	2		335.14		
191291	000241	167	6		870.33		
191292	000242	167	8		560.37		
191293	000243	168	1		502.72		
191294	000244	169	14		100		
191295	000245	172	16		155		
191296	000246	173	8		155		
191297	000247	174	27		1960.87		
191298	000248	175	5		360.25		
191299	000249	176	20		6512.69		
191300	000250	176	27		973.45		
191301	000251	178	17		155		
191302	000252	178	18		924.23		
191303	000253	178	19		220		
191304	000254	179	5		269.18		
191305	000255	179	14		565.67		
191306	000256	180	31		360.21		
191307	000257	182	3		174.97		
191308	000258	186	1		207.98		
191309	000259	188	8		270.14		
191310	000260	188	20		573.98		
191311	000261	189	12		335.63		
191312	000262	191	10		657.89		
191313	000263	192	14		2193.25		
191314	000264	193	9		497.18		
191315	000265	193	10		555.23		
191316	000266	193	35		321.56		
191317	000267	195	8		335.14		
191318	000268				150		
191319	000269				150		
191320	000270	198	8		478.19		
191321	000271	198	14		617.46		
191322	000272	198	35		379.16		
191323	000273	199	6		479.85		
191324	000274	200	3.01		514.12		
191325	000275	200	48		807.44		
191326	000276	200	52		1643.32		
191327	000277				2033.22		
191328	000278	203	18		270.14		
191329	000279	204	2		331.69		
191330	000280	205	23		146.45		
191331	000281	207	24		10794.71		
191332	000282	209	28		482.4		
191333	000283	209	31		730.69		
191334	000284	209	42.02		624.79		
191335	000285	210	14		1024.08		
191336	000286	211	19		890.5		
191337	000287	211	23		270.14		
191338	000288	212	1		1244.99		
191339	000289	212	6		364.77		
191340	000290	212	29		155		
191341	000291				7001.64		
191342	000292	215	38		1034		
191343	000293	218	8		694.86		
191344	000294	220	5		13247.98		
191345	000295	220	14		509.23		
191346	000296	221	19		270.14		
191347	000297	222	24		912.38		
191348	000298	223	7		659.55		
191349	000299	223	15.01		508.09		
191350	000300	226	8		2481.81		
191351	000301	230	5		722.06		
191352	000302	230	19		8147.09		
191353	000303	231	16		501.82		
191354	000304	232	13		268.94		
191355	000305	232	20		154.15		
191356	000306	234	3		503.19		
191357	000307	235	15		952.5		
191358	000308	237	16		524.4		
191359	000309	238	19		281.56		
191360	000310	238	34		945.6		
191361	000311	241	2		235.51		
191362	000312	242	9		457.67		
191363	000313	245	1		840.32		
191364	000314	245	5		614.34		
191365	000315	246	18		155		
191366	000316	246	19		155		
191367	000317	248	18		588.44		
191368	000318	252	30		1191.48		
191369	000319				155		
191370	000320	258	10		616.77		
191371	000321	260	4		729.8		
191372	000322	263	9.01		562.03		
191373	000323	264	5		580.93		
191374	000324	268	17		551.22		
191375	000325	276	25		497.06		
191376	000326	276	27		8245.01		
191377	000327	277	4		806.68		
191378	000328	278	15		324.25		
191379	000329	280	1		591.99		
191380	000330	280	3		370.4		
191381	000331	280	15		872.16		
191382	000332	281	7		529.51		
191383	000333	285	1		728.83		
191384	000334	285	5		220		
191385	000335	285	15		270.14		
191386	000336	290	7		270.14		
191387	000337	290	12		569.47		
191388	000338	291	8		426.91		
191389	000339	292	8		419.82		
191390	000340	292	10		1025.7		
191391	000341	294	15		377.6		
191392	000342	297	8		269.61		
191393	000343	299	2		6073.92		
191394	000344	302	12		155		
191395	000345	303	4		270.14		
191396	000346	303	5		270.14		
191397	000347	305	10		270.14		
191398	000348	306	7		808.49		
191399	000349	306	15		270.14		
191400	000350	308	14		211.45		
191401	000351	309	3		44499.64		
191402	000352	309	4		37635.84		
191403	000353	309	12.01		328.11		
191404	000354	311	18		155		
