AdvNum,Parcel,Face Amount
000007,10108002,69.89
000016,10324008C,5009.8
000077,10833057,191.24
000125,11507259,185.07
000180,20133023,3002.51
000188,20206038,2653.97
000299,20509052,829.41
000300,20509057,770.1
000302,20509064,842.67
000303,20509069,854.61
000304,20510002G,149.58
000336,20605045,744.36
000337,20605046,744.36
000356,20608062,912.12
000357,20609016,294.41
000358,20609035,915.37
000361,20610036,1700.6
000367,20611046,1607.37
000420,20636011,2983.21
000421,20636018,1515.9
000446,20653007,174.86
000447,20653012,186.47
000456,20654048,186.47
000457,20655013,297.97
000460,20656030,297.97
000461,20656046,186.47
000548,40040033,7611.52
000550,40050023,60.21
000652,40602008,160.43
000653,40602009,160.43
000661,40663008A,482.74
000663,40663028,160.67
000664,40663032,160.67
000672,40677037,484.07
000748,50011035,121.52
000804,50108138,72.74
000807,50110021,209.61
000809,50110039,2031.42
000810,50110040,2540.58
000820,50110136,1783
000821,50111033,2043.65
000823,50111064,72.74
000911,50128093,141.87
000914,50129013,866.59
000918,50129053,987.84
000919,50129054,987.84
000920,50129073,976.48
000921,50129097,74.92
000927,50129124,144.54
000928,50129130,72.74
000930,50130103,976.48
000931,50130104,976.48
000932,50130105,976.48
000933,50130116,976.48
000939,50131022,109.93
000940,50131023,324.07
000941,50131043,324.07
000943,50131068,72.74
000948,50132017,226.16
000950,50132041,144.54
000951,50132043,976.48
000952,50132050,73.64
000954,50132106,72.74
000955,50132107,72.74
000956,50133041,682.63
000957,50133061C,72.74
000958,50133063,72.74
000960,50133092,555.35
000961,50134057,72.74
000962,50134083,74.92
000963,50134114,144.54
000964,50135004,144.54
000965,50135040,226.16
000974,50136040,72.74
000975,50136047,144.54
000976,50136048,144.54
000977,50136049,144.54
000978,50136062,684.13
000979,50136068,684.13
000980,50136088,323.26
000981,50136118,226.16
000983,50137016,72.74
000984,50137040,72.74
000985,50137049,144.54
000987,50137065,1276.47
000990,50138033,1276.47
000991,50138035,72.74
000993,50138063,553.57
000994,50138075,72.74
000995,50138076,72.74
000996,50138093,324.07
000997,50138099,72.74
001001,50139071,1451.72
001002,50140011,72.74
001003,50140012,72.74
001005,50140016,144.54
001006,50140029,578.16
001007,50140046,72.74
001008,50140053,226.16
001009,50140072,72.74
001010,50140114,72.74
001011,50140124,144.54
001014,50140151,132.98
001015,50140165,226.16
001016,50141001,72.74
001017,50141005,226.16
001019,50141013,72.74
001020,50141015,72.74
001024,50142007,144.54
001025,50142010,144.54
001026,50142041,304.07
001027,50142046,226.16
001028,50142098,144.54
001029,50142103,144.54
001030,50142113,144.54
001031,50142117,225.44
001035,50143054,2031.42
001040,50144030,327.29
001045,50144068,132.98
001046,50144080,226.16
001054,50145034,72.74
001055,50145041,578.16
001056,50145060,72.74
001059,50145096,72.74
001060,50147036,562.25
001061,50147059,327.29
001085,50157075,144.54
001095,50158039,481.09
001107,50160068,72.74
001108,50161019,144.54
001109,50161029,616.77
001110,50161050,144.23
001115,50163004,226.87
001116,50163049,560.33
001117,50164002,558.9
001120,50164044,72.74
001122,50164067,72.74
001125,50164084,558.9
001126,50164087,245.44
001127,50164088,226.16
001137,50171019,103.9
001144,50175034,226.87
001162,50178002,159.25
001164,50178011E,159.25
001220,50319011,558.9
001227,50320022,2234.63
001269,60003011B,72.17
001284,60016006B,57.53
001299,60140152,100.11
001300,60140153,100.11
001301,60140154,100.11
001330,80015154,87.98
001332,80017044,115.51
001355,80077053,314.73
