ADV_AMT,ADV_NUM,FOLIO1,USER_ID,WINNING_BID
613.60,00654,50004005E,3518,13.00
54.27,00655,50007015,2567,0.00
84.51,00656,50007035,131,0.00
54.27,00657,50008015,131,0.00
54.27,00658,50008125,131,0.00
54.27,00660,50009097,131,16.00
433.59,00663,50016012A,3479,0.00
168.89,00665,50017011B,131,0.00
464.89,00666,50017012B,131,10.00
197.58,00667,50018009,3518,14.00
74.10,00668,50020001,3393,8.00
74.10,00669,50025004,3393,8.00
164.50,00670,50029001,3479,0.00
356.57,00671,50030011,131,0.00
357.06,00672,50030012,3589,0.00
425.84,00673,50032028,2849,0.00
310.58,00674,50033001,2850,0.00
67.07,00675,50033019,3014,0.00
310.58,00676,50033057,2850,0.00
310.58,00677,50033074,3589,0.00
310.58,00678,50033085,131,0.00
353.37,00679,50034040,2948,0.00
1155.80,00680,50034082,3589,0.00
281.34,00681,50034088,3589,0.00
252.74,00682,50106021D,3479,0.00
66.12,00683,50107073,3578,16.00
66.12,00684,50107106,2948,10.00
136.67,00686,50108043,3518,16.00
136.59,00687,50108142,3518,16.00
126.94,00688,50108146,3170,15.00
66.12,00689,50109098,3518,16.00
66.12,00690,50109099,3518,16.00
66.12,00691,50109102,3518,16.00
66.12,00692,50109103,3518,16.00
66.12,00693,50110075,3369,15.00
66.12,00694,50110100,3369,15.00
66.12,00695,50110101,3369,15.00
56.14,00696,50110123,3369,0.00
66.12,00697,50111009,3369,15.00
66.12,00698,50111016,3369,15.00
66.12,00699,50111017,3369,15.00
66.12,00700,50111030,3518,16.00
66.12,00701,50111050,3518,16.00
66.12,00702,50111051,3221,16.00
66.12,00703,50111114,419,15.00
66.12,00704,50112057,3566,16.00
136.67,00705,50112065,3518,16.00
66.12,00706,50113089,3518,16.00
66.12,00707,50113092,3416,15.00
66.12,00708,50113093,3416,15.00
66.12,00709,50114020,2948,15.00
66.12,00710,50114021,3518,16.00
129.98,00711,50114042,2948,15.00
66.12,00712,50118032,3518,16.00
66.12,00713,50118046,3518,16.00
66.12,00714,50118056,3518,16.00
66.12,00715,50119030,2948,15.00
66.12,00716,50119068,3369,15.00
66.12,00717,50119069,3518,16.00
66.12,00718,50119070,2948,15.00
66.12,00719,50120007,174,15.00
66.12,00720,50121036,3518,16.00
133.63,00721,50122006,3518,16.00
66.12,00722,50122026,3518,16.00
66.12,00723,50122033,3518,16.00
66.12,00724,50122087,3518,16.00
133.02,00727,50124016,3518,16.00
136.59,00728,50124054,3518,16.00
136.59,00729,50124057,3518,16.00
66.12,00730,50124070,3518,16.00
136.59,00731,50125060,3518,16.00
66.12,00733,50126020,3416,15.00
66.12,00734,50126021,3416,15.00
66.12,00735,50126050,3416,15.00
66.12,00736,50126051,3416,15.00
66.12,00737,50126098,3518,16.00
66.12,00739,50128015,3518,16.00
66.12,00740,50128055,3416,15.00
66.12,00741,50128056,3416,15.00
66.12,00742,50128133,2567,15.00
66.12,00743,50128137,2567,0.00
66.12,00744,50129048,3518,16.00
66.12,00745,50129083,3518,16.00
66.12,00746,50130001,3518,16.00
66.12,00747,50130024,3518,16.00
66.12,00748,50130067,3518,16.00
66.12,00749,50131022,3547,0.00
66.12,00750,50131023,3546,0.00
66.12,00751,50131054,3518,16.00
66.12,00753,50132097,3416,16.00
66.12,00754,50132098,2805,0.00
66.12,00755,50132099,3416,16.00
66.12,00756,50132105,3416,0.00
66.12,00757,50132106,3416,0.00
66.12,00758,50132107,2805,0.00
66.12,00759,50132108,2805,0.00
66.12,00762,50133050,2805,16.00
66.12,00763,50133072,2567,16.00
66.12,00764,50133081,2567,16.00
66.12,00765,50133092,2567,0.00
66.12,00771,50136047,3416,9.00
66.12,00772,50136048,3416,16.00
66.12,00773,50136049,3416,16.00
66.12,00774,50136052,3302,16.00
66.12,00775,50136053,3302,16.00
66.12,00776,50136060,3302,9.00
66.12,00777,50136061,3302,7.00
66.12,00778,50136105,3393,9.00
66.12,00779,50136120,3393,9.00
66.12,00783,50138090,3509,16.00
66.12,00784,50139012,3547,16.00
66.12,00786,50139056,3346,16.00
66.12,00787,50139079,3346,16.00
66.12,00788,50139090,3346,16.00
66.12,00789,50139125,3509,9.00
66.12,00790,50139129,3346,16.00
66.12,00791,50139137,3346,12.00
66.12,00797,50140131,3308,16.00
131.81,00801,50142007,3170,16.00
66.12,00802,50142041,3462,16.00
66.12,00803,50142045,3462,16.00
66.12,00804,50142102,3462,16.00
66.12,00806,50143011,3521,5.00
66.12,00808,50143059,3416,0.00
66.12,00809,50143060,3416,0.00
66.12,00810,50143062,3416,0.00
66.12,00811,50143063,3416,0.00
66.12,00812,50143066,3462,7.00
66.12,00813,50143088,3462,8.00
66.12,00814,50143094,3462,7.00
66.12,00815,50143105,3509,4.00
66.12,00816,50143114,3393,8.00
66.12,00817,50144034,3346,16.00
66.12,00818,50144057,3393,8.00
66.12,00819,50144068,3393,6.00
66.12,00820,50144075,3393,16.00
66.12,00821,50144083,3393,11.00
66.12,00822,50145043,3393,16.00
66.12,00823,50145054,3462,7.00
66.12,00824,50145060,3393,16.00
66.12,00825,50145062,3393,7.00
66.12,00826,50145080,2805,4.00
66.12,00827,50145081,2805,5.00
66.12,00828,50145086,3393,16.00
66.12,00829,50145091,3393,16.00
66.12,00830,50145092,3393,16.00
66.12,00831,50146014,3393,16.00
66.12,00832,50146059,3393,16.00
66.12,00833,50147031,3393,16.00
66.12,00834,50147043,3393,16.00
66.12,00835,50147044,3393,16.00
66.12,00836,50147045,3393,16.00
66.12,00837,50147054,3393,11.00
85.24,00838,50148008,3393,7.00
85.24,00839,50148015,3393,7.00
91.21,00840,50149001,3376,11.00
85.24,00841,50149003,2805,0.00
85.24,00842,50149004,131,0.00
85.24,00843,50149005,131,6.00
469.98,00844,50156030,3546,16.00
66.12,00846,50156075,3393,16.00
66.12,00847,50156076,3393,16.00
66.12,00848,50156118,3221,16.00
66.12,00849,50157018,2805,4.00
66.12,00850,50157019,2805,5.00
119.33,00852,50158018,3465,16.00
66.12,00859,50159006,3524,8.00
66.12,00860,50159007,3524,8.00
66.12,00861,50159085,3393,16.00
66.12,00862,50159101,3393,16.00
66.12,00863,50159109,3393,16.00
134.24,00864,50160001,3170,16.00
66.12,00865,50161009,3393,9.00
66.12,00866,50161010,3393,9.00
66.12,00867,50161033,3302,8.00
66.12,00868,50161047,3393,16.00
66.12,00869,50162038,3393,16.00
66.12,00871,50162068,3393,16.00
66.12,00873,50164045,3393,16.00
66.12,00874,50165048,3393,16.00
66.12,00875,50165052,3393,16.00
72.50,00876,50167001,3479,8.00
72.50,00877,50168018,3479,5.00
72.50,00878,50169015,3393,12.00
72.50,00879,50170019,3393,11.00
72.50,00880,50171008,3479,5.00
1418.51,00882,50172021,3565,16.00
66.12,00883,50172070,3393,16.00
66.12,00884,50173013,3393,16.00
120.16,00885,50173022,3547,16.00
66.12,00889,50175075,3393,16.00
66.12,00890,50175076,3393,16.00
66.12,00891,50175077,3393,16.00
66.12,00892,50177008,3393,16.00
66.12,00893,50177009,3393,16.00
66.12,00894,50177011,3393,16.00
66.12,00895,50177046,3393,16.00
66.12,00896,50177048,3393,16.00
66.12,00897,50177049,3393,16.00
66.12,00898,50177050,3393,16.00
66.12,00899,50177053,3393,16.00
66.12,00900,50177054,3393,16.00
66.12,00901,50177060,3393,16.00
66.12,00902,50177062,3393,16.00
208.06,00903,50180057,2859,0.00
385.35,00904,50180062,2567,0.00
198.71,00906,50208003W,3547,16.00
219.81,00907,50208003Y,2850,15.00
316.55,00908,50224020,3479,0.00
288.76,00909,50224036,2849,0.00
144.04,00910,50224053,131,7.00
144.04,00911,50224054,131,7.00
309.92,00912,50226001,3479,0.00
310.04,00913,50226008,3589,3.00
176.94,00915,50226033E,131,0.00
141.78,00916,50226049,131,7.00
125.18,00917,50226050,3376,15.00
176.94,00918,50227046B,3589,3.00
176.94,00919,50227051B,3538,0.00
101.96,00920,50227051D,3342,0.00
405.83,00921,50231027,3589,3.00
395.69,00923,50231143,2850,0.00
405.21,00924,50231147,3589,7.00
213.06,00925,50231159,3589,0.00
66.12,00926,50302007,3393,16.00
56.56,00928,50303070B,3547,0.00
281.25,00929,50304058,3034,16.00
66.12,00932,50305065,3560,8.00
115.04,00933,50305079B,3170,16.00
66.12,00934,50308003,3479,0.00
66.12,00935,50308004,3479,0.00
66.12,00936,50312006,3479,0.00
87.96,00937,50314026,3479,0.00
78.08,00938,50315005,3416,0.00
87.96,00939,50315006,3479,0.00
87.96,00942,50316044,131,0.00
414.06,00943,50316076,2570,8.00
87.96,00944,50316099,2859,0.00
87.96,00945,50317015,3479,0.00
87.96,00946,50317023,3479,0.00
201.23,00947,50317029,2570,11.00
170.06,00949,50317109,2859,0.00
170.06,00950,50317117,131,0.00
66.12,00953,50318104,2805,16.00
66.12,00969,50319109,3546,16.00
66.12,00987,50321019,3529,16.00
66.12,00990,50321043,3437,16.00
66.12,01002,50321130,3416,16.00
66.12,01003,50321131,3416,16.00
66.12,01005,50321139,3328,16.00
66.12,01006,50321140,3328,16.00
66.12,01009,50322002,3342,16.00
66.12,01010,50322043,3342,16.00
66.12,01011,50322046,3342,16.00
66.12,01012,50322047,3342,16.00
66.12,01013,50322048,3342,16.00
66.12,01014,50322049,3342,16.00
66.12,01015,50322052,3342,16.00
66.12,01016,50322054,3342,16.00
66.12,01017,50322055,3342,16.00
66.12,01018,50322056,3342,16.00
66.12,01020,50323031,3342,16.00
66.12,01026,50324017,3524,14.00
66.12,01027,50324038,3524,14.00
66.12,01028,50324040,3342,15.00
60.56,01031,50327002,3393,16.00
60.56,01032,50327057,3416,4.00
60.56,01033,50327058,3416,4.00
60.56,01034,50327059,3416,4.00
60.56,01035,50327061,3393,15.00
60.56,01036,50327062,3393,15.00
575.49,01037,50328012,3518,16.00
60.61,01039,50328058,3393,16.00
60.56,01040,50329002,3393,16.00
60.61,01041,50329004,3393,16.00
60.61,01042,50329005,3393,16.00
60.61,01043,50329006,3393,16.00
60.61,01044,50329007,3393,16.00
60.56,01045,50329010,3393,16.00
60.56,01046,50329012,3393,16.00
60.56,01047,50329013,3393,16.00
60.56,01048,50329014,3393,16.00
60.56,01049,50329016,3393,16.00
60.56,01050,50329021,3393,16.00
60.61,01051,50329024,3393,16.00
60.56,01052,50329035,3393,16.00
60.56,01053,50329036,3393,16.00
60.56,01054,50329037,3393,6.00
60.61,01055,50329041,3393,16.00
60.56,01056,50329045,3393,16.00
60.56,01057,50329047,3393,6.00
60.56,01058,50329048,3393,6.00
60.56,01059,50329049,3393,6.00
60.56,01060,50329052,3393,16.00
60.71,01061,50329062,3393,16.00
60.71,01062,50329063,3393,16.00
60.61,01063,50330001,3393,16.00
60.71,01064,50330008,3393,16.00
60.61,01065,50330009,3393,16.00
60.56,01066,50330024,3393,9.00
60.61,01067,50330025,3393,9.00
60.56,01068,50330032,3393,16.00
124.42,01069,50331024,2805,15.00
60.56,01070,50331038,3393,16.00
60.56,01071,50331039,3393,16.00
60.56,01072,50331042,3393,16.00
60.56,01073,50332003,3393,16.00
252.21,01074,50332014,3518,16.00
252.21,01075,50332015,3546,15.00
65.90,01076,50332033,3393,7.00
65.90,01077,50332046,3393,7.00
61.80,01078,50333015,3393,16.00
61.80,01079,50333016,3393,16.00
61.80,01080,50333017,3393,16.00
61.80,01081,50333018,3393,16.00
61.80,01082,50333031,3393,16.00
61.80,01083,50333032,3393,16.00
61.80,01084,50333038,3393,16.00
61.97,01085,50333040,3393,16.00
61.80,01086,50333042,3393,16.00
