RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971304,230185,1973-11-3-17-005,2738.28,
2971305,230189,1973-11-4-01-062,1724.27,
2971306,230191,1973-11-4-01-102,1654.08,
2971307,230193,1973-11-4-01-115,863.26,
2971308,230194,1973-11-4-06-001,2137.27,
2971309,230195,1973-11-4-07-037,1210.56,
2971310,230196,1973-11-4-08-039,1969.23,
2971311,230198,1973-11-4-15-042,1708.56,
2971312,230199,1973-11-4-16-036,2061.07,
2971313,230201,1973-12-1-06-014,2362.77,
2971314,230202,1973-12-1-07-018,1239.39,
2971315,230205,1973-12-1-19-016,2541.88,
2971316,230209,1973-12-2-05-005,2752.47,
2971317,230210,1973-12-2-05-015,1290.06,
2971318,230213,1973-12-4-17-002,2924.25,
2971319,230216,1973-13-1-08-002,2379.1,
2971320,230222,1973-13-1-18-039,1275.64,
2971321,230229,1973-13-2-09-047,2708.43,
2971322,230232,1973-13-2-13-005,2294.01,
2971323,230234,1973-13-2-16-018,1586.83,
2971324,230237,1973-13-2-24-002,2620.34,
2971325,230238,1973-13-3-05-001,832.54,
2971326,230239,1973-13-3-06-004,1141,
2971327,230240,1973-13-3-08-023,2415,
2971328,230241,1973-13-3-09-002,2856.37,
2971329,230243,1973-13-3-09-022,2476.21,
2971330,230244,1973-13-3-12-014,2106.61,
2971331,230247,1973-13-3-21-002,1312.66,
2971332,230248,1973-13-3-21-009,961.85,
2971333,230250,1973-13-3-21-102,480.95,
2971334,230252,1973-13-4-03-005,1310.09,
2971335,230256,1973-14-1-05-031,838.01,
2971336,230257,1973-14-1-08-004,1342.03,
2971337,230259,1973-14-1-12-003,1345.83,
2971338,230261,1973-14-1-13-005,1884.45,
2971339,230263,1973-14-1-14-013,951.91,
2971340,230266,1973-14-1-18-006,1887.62,
2971341,230267,1973-14-1-19-012,1977.04,
2971342,230268,1973-14-1-23-004,943.1,
2971343,230269,1973-14-2-06-004,1788.04,
2971344,230275,1973-14-2-18-063,400.56,
2971345,230277,1973-14-2-18-068,598.73,
2971346,230281,1973-14-2-18-103,781.33,
2971347,230283,1973-14-3-05-003,2002.4,
2971348,230286,1973-14-3-20-001,1051.71,
2971349,230287,1973-14-3-22-002,323.61,
2971350,230288,1973-14-3-22-005,326.48,
2971351,230289,1973-14-3-22-007,434.44,
2971352,230291,1973-14-3-22-020,320.69,
2971353,230293,1973-14-3-22-044,341.24,
2971354,230298,1973-14-3-22-075,320.69,
2971355,230299,1973-14-3-22-077,664.46,
2971356,230300,1973-14-3-22-078,628.89,
2971357,230303,1973-14-3-22-109,247.87,
2971358,230307,1973-14-3-22-130,628.89,
2971359,230310,1973-14-4-06-019,1726.11,
2971360,230315,1973-18-1-01-011,60099.13,
2971361,230316,1973-18-4-02-023,2030.01,
2971362,230317,1973-21-1-05-036,939.83,
2971363,230318,1973-21-1-05-066,420.95,
2971364,230319,1973-21-1-05-079,828.18,
2971365,230320,1973-21-1-05-081,853.53,
2971366,230321,1973-21-1-05-091,853.53,
2971367,230322,1973-21-1-05-095,233.38,
2971368,230323,1973-21-1-05-106,824.95,
2971369,230324,1973-21-1-05-132,824.95,
2971370,230325,1973-21-1-05-160,839.54,
2971371,230326,1973-21-1-05-169,853.53,
2971372,230327,1973-21-1-05-215,911.88,
2971373,230328,1973-21-1-05-229,853.53,
2971374,230329,1973-21-1-05-280,837.62,
2971375,230330,1973-21-4-11-013,724.69,
2971376,230331,1973-21-4-11-017,726.58,
2971377,230332,1973-21-4-11-025,724.69,
2971378,230333,1973-21-4-11-049,724.69,
2971379,230335,1973-21-4-11-065,724.69,
2971380,230336,1973-21-4-11-073,759.59,
2971381,230337,1973-21-4-11-105,724.69,
2971382,230338,1973-21-4-11-112,722.14,
2971383,230340,1973-21-4-11-137,651.73,
2971384,230341,1973-21-4-11-142,971.78,
2971385,230343,1973-21-4-11-177,753.26,
2971386,230344,1973-21-4-11-200,713.92,
2971387,230345,1973-22-3-04-012,2770.85,
2971388,230349,1973-23-1-09-001,1939.86,
2971389,230350,1973-23-1-19-009,2027.73,
2971390,230351,1973-23-1-20-005,1392.65,
2971391,230353,1973-23-2-08-007,1659.24,
2971392,230354,1973-23-2-16-005,2791.95,
2971393,230358,1973-23-3-05-016,2006.14,
2971394,230362,1973-23-3-07-014,1850.43,
2971395,230363,1973-23-3-11-004,1597.22,
2971396,230364,1973-23-3-11-005,1597.22,
2971397,230365,1973-23-3-11-006,1597.22,
2971398,230366,1973-23-3-20-010,1701.87,
2971399,230369,1973-23-4-15-012,2219.4,
2971400,230371,1973-23-4-19-003,2249,
2971401,230373,1973-23-4-20-039,2201.64,
2971402,230374,1973-23-4-21-008,2137.56,
2971403,230375,1973-23-4-22-027,1886.06,
2971404,230376,1973-23-4-25-015,2048.75,
2971405,230381,1973-24-1-06-039,1696.63,
2971406,230382,1973-24-2-02-010,2149.06,
2971407,230383,1973-24-2-07-008,2604.62,
2971408,230384,1973-24-2-10-012,1939.35,
2971409,230386,1973-24-2-10-136,1762.38,
2971410,230388,1973-24-3-01-028,2557.55,
2971411,230391,1973-24-3-05-007,2480,
2971412,230392,1973-24-3-06-028,2647.18,
2971413,230394,1973-24-4-02-013,1931.82,
2971414,230395,1973-24-4-04-003,2825.63,
2971415,230397,1973-25-1-09-036,972.86,
2971416,230398,1973-25-1-11-054,1183.47,
2971417,230400,1973-25-1-13-051,1945.91,
2971418,230401,1973-25-1-14-132,1096.37,
2971419,230402,1973-25-1-14-152,1096.37,
2971420,230403,1973-25-1-17-010,723.12,
2971421,230404,1973-25-1-17-037,828.12,
2971422,230405,1973-25-1-22-034,763.49,
2971423,230406,1973-25-2-06-007,1467.5,
2971424,230409,1973-25-3-04-001,2594.79,
2971425,230410,1973-25-3-16-002,1903.75,
2971426,230411,1973-25-3-20-004,1526.25,
2971427,230412,1973-25-4-07-037,894.47,
2971428,230414,1973-25-4-07-085,587.18,
2971429,230415,1973-25-4-07-193,837.36,
2971430,230416,1973-25-4-12-020,1690.82,
2971431,230417,1973-25-4-15-065,2558.48,
2971432,230419,1973-26-1-05-041,1241.36,
2971433,230420,1973-26-1-05-045,1360.88,
2971434,230422,1973-26-1-12-010,2177.93,
2971435,230423,1973-26-1-19-018,1813.3,
2971436,230427,1973-26-3-03-014,2154.3,
2971437,230428,1973-26-3-04-021,2248.01,
2971438,230429,1973-26-3-05-026,2225.82,
2971439,230434,1973-26-4-10-007,2443.65,
2971440,230435,1973-26-4-10-026,1498.27,
2971441,230436,1973-26-4-11-004,2440.29,
2971442,230437,1973-26-4-15-027,938.02,
2971443,230439,1973-26-4-23-020,1122.23,
2971444,230442,1973-27-1-04-223,878.81,
2971445,230443,1973-27-1-04-301,1455.09,
2971446,230444,1973-27-1-04-305,562.38,
