AdvNum,Parcel,Face Amount
0000718,021024407518700250,99.86
0000720,021024407518900100,99.86
0000725,021024407518900230,99.86
0000726,021024407518900240,99.86
0000732,021024407519000150,99.86
0000733,021024407519000160,99.86
0000734,021024407519000250,99.86
0000736,021024407519000280,99.86
0000737,021024407519100070,99.86
0000743,021024407519300030,65.09
0000746,021024407519400030,99.86
0000747,021024407519400110,99.86
0000750,021024407519400260,99.86
0000751,021024407519500010,99.86
0000755,021024407519600210,99.86
0000764,021024407521300090,99.86
0000767,021024407521500070,99.86
0000772,021024407521700050,102.22
0000775,021024407521800020,67.47
0000776,021024407521800030,67.47
0000783,021024407522200040,70.77
0000788,021024407522500050,57.02
0000789,021024407522500100,57.02
0000793,021024407522700040,100.7
0000798,021024407522900070,105.52
0000801,021024407523700040,99.86
0000805,021026000000001280,24.53
0000809,021026000001900050,394.83
0000823,021026000006300030,25.08
0000828,021026000007300020,78.47
0000833,021026000009600000,589.63
0000844,021026772000400100,127.28
0000847,021026772000600100,52.09
0000853,021026772001500050,163.7
0000864,021026852000000220,140.57
0000869,021026852000000440,86.9
0000870,021026852000000450,86.9
0000871,021026852000000490,85.46
0000872,021026852000000520,34.14
0000873,021026852000000523,34.14
0000876,021026852000000670,171.59
0000877,021026852000000890,181.12
0000895,021126000000400290,52.08
0000930,021227000000000001,112.9
0000931,021227000002300240,166.7
0000955,021227182900600050,116.2
0000956,021227182900600140,119.21
0000961,021227182901100210,123.32
0000963,021227182901300080,121.12
0000966,021227182901500030,60.84
0000967,021227182901600020,121.12
0000968,021227182901600240,120.4
0000971,021227182901900040,119.21
0000977,021227182902100170,121.12
0000978,021227182902200010,52.41
0000981,021227182902200330,69.39
0000982,021227182902600020,95.48
0000983,021227182902600080,95.48
0000984,021227182902600090,95.48
0000985,021227182902600100,95.48
0000986,021227182902600140,95.48
0000987,021227182902600170,95.48
0000988,021227182902600180,95.48
0000989,021227182902600200,95.48
0000990,021227182902600210,95.48
0000991,021227182902600230,95.48
0000997,021227182902600790,119.21
0000998,021227182902600800,119.21
0001001,021227182902600860,106.71
0001004,021227182902900140,114.21
0001005,021227182902900150,114.21
0001007,021227182903000050,78.56
0001011,021227182903000430,121.12
0001012,021227182903000440,121.12
0001038,030924260002600040,57.21
0001056,030927000000730042,28.2
0001057,030927000000730100,106.28
0001066,030927000000730990,140.34
0001078,030927773002600080,37.78
0001079,030927773002700030,37.78
0001080,030927773002700040,37.78
0001081,030927773002700060,37.78
0001084,030927773100900620,57.56
0001085,030927773101300130,37.78
0001087,030927773101300530,37.78
0001088,030927773101300540,37.78
0001089,030927773101300650,37.78
0001090,030927773101300670,37.78
0001091,030927773101300680,37.78
0001092,030927773101400070,37.78
0001093,030927773101400080,37.78
0001094,030927773101400180,57.56
0001095,030927773101400270,37.78
0001096,030927773101400280,37.78
0001097,030927773101400470,37.78
0001098,030927773101400560,37.78
0001099,030927773101400570,57.56
0001100,030927773101400600,37.78
0001101,030927773101400610,37.78
0001102,030927773101400620,37.78
0001103,030927773101400630,37.78
0001104,030927773101400640,37.78
0001105,030927773101400650,37.78
0001106,030927773101400660,37.78
0001107,030927773101400670,37.78
0001108,030927773101700110,37.78
0001109,030927773101700120,37.78
0001110,030927773101700130,57.56
0001111,030927773101700190,37.78
0001112,030927773101700200,37.78
0001113,030927773101700210,37.78
0001114,030927773101700510,37.78
0001117,030927773101800090,37.78
0001118,030927773101800100,37.78
0001119,030927773101800110,37.78
0001120,030927773101800170,37.78
0001121,030927773101800190,37.78
0001122,030927773101800490,37.78
0001125,030927773202300160,37.78
0001126,030927773202300170,33.82
0001127,030927773202300180,33.82
0001128,030927773202300190,33.82
0001129,030927773202300290,33.82
