AdvNum,Parcel,Face Amount
0003432,R11742-000,198.04
0003436,R11756-001,160.69
0003437,R11758-000,147.99
0003439,R11763-000,180.1
0003440,R11764-000,177.5
0003442,R11767-000,916.34
0003449,R11780-001,141.52
0003450,R11788-028,130.81
0003452,R11813-001,129.49
0003457,R11825-001,184.51
0003458,R11829-000,266.4
0003459,R11839-000,128.76
0003460,R11843-000,159.49
0003461,R11851-000,131.5
0003463,R11870-000,164
0003470,R11913-000,151.75
0003474,R11929-000,221.75
0003475,R11932-000,141.59
0003477,R11940-000,135.73
0003480,R11945-000,128.51
0003482,R11950-000,117.29
0003485,R11968-000,954.89
0003495,R12049-000,182.27
0003498,R12075-000,223.57
0003500,R12093-000,187.52
0003501,R12094-000,182.27
0003508,R12132-000,213.74
0003514,R12154-000,194.25
0003515,R12155-000,171.01
0003516,R12158-000,133.5
0003517,R12163-001,176.01
0003522,R12239-001,201.17
0003547,R12443-000,151.6
0003554,R12499-000,357.14
0003583,R12826-000,194.77
0003585,R12841-009,152.91
0003609,R12995-001,154
0003622,R13101-001,147.46
0003623,R13104-000,148.01
0003626,R13107-008,111.51
0003630,R13118-001,150.74
0003631,R13118-002,104.54
0003665,R13363-000,192.72
0003681,R13434-001,219.51
0003696,R13538-000,109.26
0003748,R14125-001,153.5
0003750,R14135-001,119.1
0003751,R14139-000,183.5
0003752,R14157-000,183.5
0003755,R14175-002,205.25
0003757,R14186-000,205.25
0003762,R14212-000,117.73
0003763,R14216-001,186.8
0003764,R14216-002,186.8
0003765,R14216-003,206.79
0003766,R14216-004,186.8
0003771,R14216-013,235.6
0003782,R14345-001,71.95
0003784,R14362-000,32.51
0003788,R14389-000,150.2
0003791,R14429-000,68.14
0003794,R14460-003,161.68
0003797,R14461-136,271.41
0003799,R14468-000,170.92
0003802,R14475-000,101.17
0003803,R14481-000,187.05
