ADVNUM,BLOCK,LOT,QUAL,FACE_AMOUNT
0241,1204,26,,737.3
0251,1205,11,,11711.32
0260,1206,17,,3754.52
0303,1503,8,,22842.11
0345,1702,13,,14960.48
0402,1901,5,,8831.42
0444,1904,37,,56231.73
0495,2101,13,,153.59
0609,3002,6,,263.57
0633,3203,11,,483.41
0639,3301,11,,21029.04
0640,3301,12,,260.02
0695,3402,13,,939.92
0994,4704,17,,1745.75
1462,6210,2,,573.74
