ADVNUM,BLOCK,LOT,QUAL,FACE_AMOUNT
0004,301,25,,852.51
0012,501,3,,202.21
0066,1004,21,,2220.55
0127,1601,3,,2191
0216,1904,37,,46539.14
0229,2002,9,,412.58
0324,3301,7,,2026.91
0333,3301,48,,1498.61
0365,3404,31,,2164.93
0441,4007,1,,1034.37
0535,5004,27.02,,15661.51
0570,5301,51.02,,5936.3
0699,6401,50,,610.79
