RA_ITEMID,ADVNUM,BLOCK,LOT,QUAL,TOTAL_IN_SALE,PERCENTAGE_BID,PREMIUM_BID
3178351,000214,3102,1,,3573.72,,
3178352,000215,3104,8,,183.99,,
3178354,000217,3201,5,,238.96,,
3178356,000219,3203,5,,2721.22,,
3178357,000220,3203,16,,170.98,,
3178358,000221,3203,17,,173.38,,
3178359,000222,3301,10,,372.91,,
3178360,000223,3301,12,,173.38,,
3178361,000224,3301,14,,15731.58,,
3178363,000226,3301,19,,173.38,,
3178364,000227,3301,56,,149.71,,
3178366,000229,3303,12,,182.94,,
3178368,000231,3402,9,,1915.03,,
3178369,000232,3402,23,,171.51,,
3178370,000233,3402,39,,309.28,,
3178371,000234,3403,3,,9142.42,,
3178372,000235,3403,24,,171.31,,
3178374,000237,3404,13,,290.86,,
3178375,000238,3405,2,,510.06,,
3178376,000239,3405,6,,370.98,,
3178378,000241,3501,3,,190.98,,
3178379,000242,3501,11,,518.46,,
3178380,000243,3501,13,,185.32,,
3178382,000245,3601,16,,173.24,,
3178383,000246,3702,26,,648.69,,
3178384,000247,3704,37,,213.83,,
3178385,000248,3704,44,,309.28,,
3178388,000251,3802,6,,185.32,,
3178389,000252,3802,11,,287.07,,
3178390,000253,3803,6,,467.53,,
3178392,000255,3901,4,,277.01,,
3178393,000256,3903,6,,10459.28,,
3178394,000257,3903,28,,171.59,,
3178398,000261,4008,4,,239.69,,
3178399,000262,4102,2,,12012.4,,
3178400,000263,4103,16,,401.39,,
3178401,000264,4103,27,,208.77,,
3178403,000266,4201,17,,2889.82,,
3178404,000267,4201,20,-C0004,1621.35,,
3178405,000268,4201,20,-C0022,448.9,,
3178411,000274,4701,12,,234.16,,
3178412,000275,4701,15,,450.4,,
3178413,000276,4701,17,,227.27,,
3178414,000277,4701,23,,248.13,,
3178415,000278,4702,11,,216.62,,
3178416,000279,4703,23,,236.06,,
3178418,000281,4704,19,,267.03,,
3178420,000283,4801,12,,963.42,,
3178421,000284,4801,13,,206.47,,
3178422,000285,4801,18,,292.57,,
3178423,000286,4802,12,,229.64,,
3178424,000287,4802,13,,894.86,,
3178425,000288,4802,29,,216.62,,
3178426,000289,4803,7,,202.43,,
3178427,000290,4901,3,,216.62,,
3178428,000291,4901,9,,196.05,,
3178430,000293,4901,11,,172.52,,
3178431,000294,4901,18,,166.47,,
3178432,000295,4901,19,,13673.21,,
3178434,000297,4902,15,,790.64,,
3178438,000301,5004,28,,468.49,,
3178439,000302,5005,3,,370.68,,
3178440,000303,5005,5,,573.54,,
3178442,000305,5005,17,,197.72,,
3178443,000306,5005,25,-C0004,370.9,,
3178444,000307,5103,13,,13388.82,,
3178445,000308,5103,32,,171.4,,
3178446,000309,5104,15,,313.74,,
3178448,000311,5201,23,,454.44,,
3178449,000312,5202,23,,390.49,,
3178452,000315,5301,2,,337.78,,
3178453,000316,5301,21,,611.85,,
3178454,000317,5301,24,,210.39,,
3178456,000319,5302,20,,447.3,,
3178457,000320,5303,8,,586.3,,
3178460,000323,5503,1,,185.32,,
3178462,000325,5601,9,,183.09,,
3178463,000326,5601,14,,172.52,,
3178464,000327,5601,19,,402.98,,
3178465,000328,5602,2,,234.07,,
3178467,000330,5602,18,,339.05,,
3178468,000331,5701,4,,453.5,,
3178470,000333,5801,7,,167.85,,
3178471,000334,5801,10,,320.28,,
3178474,000337,5801,34,,227.03,,
3178475,000338,5802,12,,307.44,,
3178476,000339,5802,39,,171.17,,
3178477,000340,5901,1,,578.28,,
3178478,000341,5901,13,,241.82,,
3178479,000342,5902,1,,170.98,,
3178482,000345,5902,8,,535.22,,
3178483,000346,5902,15,,172.52,,
3178484,000347,5903,10,,517.46,,
3178486,000349,5903,28,,162.71,,
3178487,000350,6003,36,,215.13,,
3178488,000351,6003,37,,4357.71,,
3178490,000353,6004,5,,172.52,,
3178491,000354,6005,1,,178.82,,
3178492,000355,6005,2,,170.98,,
3178493,000356,6006,6,,10508.6,,
3178494,000357,6006,16,,171.8,,
3178495,000358,6007,21,,239.98,,
3178496,000359,6007,23,,471.36,,
3178497,000360,6007,27,,229.23,,
3178498,000361,6008,18,,279.79,,
3178499,000362,6009,14,,315.41,,
3178501,000364,6102,3,,267.03,,
3178502,000365,6102,26,,2684.4,,
3178503,000366,6103,6,,637.39,,
3178504,000367,6103,20,,9949.64,,
3178505,000368,6104,2,,1350.81,,
3178506,000369,6106,3,,820.4,,
3178507,000370,6107,11,,227.03,,
3178508,000371,6107,17,,573.54,,
3178509,000372,6107,19,,252.34,,
3178510,000373,6202,9,,172.52,,
3178511,000374,6204,2,,323.55,,
3178512,000375,6204,10,,662.92,,
3178514,000377,6205,9,,657.41,,
3178515,000378,6205,13,,314.88,,
3178517,000380,6207,3,,330.88,,
3178518,000381,6207,4,,307.44,,
3178520,000383,6209,7,,279.79,,
3178522,000385,6301,3,,516.85,,
3178523,000386,6302,20,,278.63,,
3178524,000387,6401,1,,146.19,,
3178526,000389,6401,24,,364.89,,
3178528,000391,6401,37,,172.52,,
3178529,000392,6401,45,,172.52,,
3178530,000393,6401,51,,195.91,,
3178531,000394,6402,4,,381.96,,
3178533,000396,6501,5,,454.79,,
3178534,000397,6501,7,,165.75,,
3178536,000399,6501,34,,459.69,,
3178539,000402,6602,13,,343.64,,
3178541,000404,6602,28,,899.87,,
3178542,000405,6701,13,,233.74,,
3178543,000406,6701,19,,170.98,,
3178544,000407,6702,8,,233.83,,
3178545,000408,6702,17,,320.28,,
3178546,000409,6702,19,,172.52,,
3178547,000410,6704,8,,156.43,,
3178549,000412,6801,11,,172.52,,
3178552,000415,6901,6,,320.04,,
3178555,000418,6901,25,,526.79,,
3178557,000420,7001,2,,146.45,,
3178560,000423,7003,8,,305.65,,
3178561,000424,7005,5,,171.38,,
