AdvNum,Parcel,Face Amount
0004883,242720-000000-011050,51.4
0004884,242720-000000-011060,62.55
0004916,242729-000000-011420,60.65
0004923,242729-000000-043672,38.31
0005113,242809-175500-020105,84.49
0005122,242809-175500-024700,39.16
0005130,242809-175500-031704,37.55
0005176,242810-177500-000961,102.5
0005178,242810-177500-001140,122.86
0005179,242810-177500-001160,125.5
0005181,242810-177500-001612,106.64
0005183,242810-177500-001831,118.88
0005266,242813-000000-032060,84.14
0005317,242815-000000-032350,96.58
0005341,242816-000000-022090,69.68
0005344,242816-000000-022140,51.36
0005346,242816-000000-022160,42.87
0005390,242816-184500-000640,46.78
0005413,242816-185500-002900,87.29
0005465,242816-187500-042210,111.92
0005501,242817-192500-010223,152.23
0005551,242818-000000-031280,79.45
0005561,242818-199000-004012,101.63
0005574,242818-203000-011101,182.22
0005588,242818-203000-017071,677.24
0005592,242818-203000-023011,600.84
0005673,242819-229000-004012,281.84
0005711,242821-000000-013130,48.61
0005712,242821-000000-013180,48.61
0005715,242821-000000-013310,50.14
0005717,242821-000000-014080,66.51
0005734,242821-239500-010021,71.94
0005735,242821-239500-010031,154.01
0005742,242821-239510-018013,38.58
0005814,242822-000000-023059,50.27
0005834,242822-000000-024101,1104.52
0005840,242822-000000-042017,101.92
0005841,242822-000000-042020,72.59
0005842,242822-000000-042023,86.55
0005845,242822-000000-042041,184.85
0005871,242823-000000-013190,58.92
0005873,242823-000000-043210,70.17
0005911,242826-000000-024140,69.43
0005974,242827-000000-013154,78.86
0006102,242828-244000-005914,44.22
0006467,242835-270501-000191,156.5
0006896,243007-000000-011020,178.03
0006897,243007-000000-011030,129.43
0006908,243013-000000-023010,53.29
0006909,243013-000000-042010,112.74
0006910,243013-000000-042020,112.74
0006914,243013-293165-000571,89.67
0006915,243013-293165-000640,37.97
0006920,243018-000000-013010,44.19
0006922,243030-000000-022010,619.39
0006928,243032-000000-031140,46.68
0007004,252432-000000-043140,39.26
0007024,252433-000000-034030,40.69
0007086,252506-000000-014060,57.11
0007159,252507-000000-012010,91.43
0007212,252518-000000-044030,81.43
0007220,252519-000000-013130,75.61
0007234,252519-000000-024030,37.25
0007235,252519-000000-024040,37.25
0007263,252519-000000-043040,37.39
0007308,252529-000000-032010,38.76
0007309,252529-000000-032040,39.06
0007310,252529-000000-032050,39.06
0007317,252529-000000-032200,39.06
0007475,252602-000000-021170,39.19
0007485,252602-000000-023160,39.19
0007634,252604-000000-021140,44.53
0007648,252604-000000-032060,39.19
0007652,252604-000000-033020,39.19
0007835,252621-000000-012050,36.2
0007836,252621-000000-012060,69.73
0007837,252621-000000-013090,54
0007856,252621-000000-024100,77.41
0007870,252622-000000-042040,36.2
0007871,252622-000000-042050,38.12
0007872,252622-000000-042070,38.12
0007873,252622-000000-042080,38.12
0007874,252622-000000-042100,38.12
0007875,252622-000000-042110,36.2
0007876,252622-000000-042160,38.12
0007877,252622-000000-042190,36.2
0007879,252622-000000-044060,36.2
0007880,252622-000000-044070,38.12
0007917,252628-000000-023020,50.31
0007926,252629-000000-014020,81.96
0007969,252632-000000-013030,58.75
0008013,252633-296500-002003,69.54
0008014,252633-296500-002004,43.54
0008018,252633-296500-005100,55.37
0008020,252633-296500-006030,93.43
0008024,252633-296500-007040,55.37
0008025,252633-296500-007050,80.57
0008026,252633-296500-007240,55.37
0008053,252635-000000-034050,37.82
0008054,252635-000000-034060,37.85
0008057,252635-000000-043010,38.99
0008059,252635-000000-044030,38.99
0008061,252635-000000-044090,47.77
0008063,252635-298000-025040,42.78
0008064,252635-298000-026120,42.78
0008065,252636-000000-011060,39.15
0008066,252636-000000-011100,48.09
0008067,252636-000000-012020,48.12
0008068,252636-000000-013020,65.99
0008069,252636-000000-013090,39.15
0008070,252636-000000-013130,48.09
0008071,252636-000000-013140,39.15
0008072,252636-000000-023020,65.92
0008073,252636-000000-023060,48.09
0008074,252636-000000-023070,39.15
0008075,252636-000000-023080,39.15
0008078,252701-000000-012040,38.62
0008079,252701-000000-021010,85.6
0008080,252701-000000-032040,56.49
0008102,252706-000000-034010,37.97
0008103,252706-000000-042010,46.64
0008169,252710-000000-032020,75.69
0008182,252712-000000-032060,48.19
0008186,252712-000000-034150,39.19
0008188,252712-000000-042050,48.19
0008189,252712-000000-043040,48.23
0008190,252712-000000-043050,48.23
0008191,252712-000000-043060,48.21
0008192,252712-000000-043100,48.21
0008195,252713-000000-014110,66.3
0008196,252713-000000-014120,48.25
0008200,252713-000000-024010,39.21
0008201,252713-000000-024020,39.21
0008205,252715-000000-023060,84.62
0008206,252715-000000-023150,95.51
0008379,252735-305249-006082,43.29
0008433,252802-000000-014660,67.55
0008434,252802-000000-021040,225.23
0008462,252804-313000-009613,155.7
0008562,252806-000000-024390,43.46
0008569,252806-000000-044150,39.2
0008571,252806-320000-001080,66.17
0008572,252806-320000-001090,52.92
0008622,252809-000000-021140,8524.02
0008650,252809-321200-000106,38.42
0008669,252809-321374-000120,36.18
0008675,252810-000000-043710,57.23
0008731,252811-000000-011570,66.51
0008733,252811-000000-011650,58.29
0008741,252811-000000-022530,52.21
0008742,252811-000000-022540,41.06
0008832,252811-336500-021070,330.78
0008947,252812-339210-000172,42.09
0008962,252812-339700-000682,68.15
0009163,252814-000000-023060,97.07
0009177,252814-000000-033240,43.06
0009181,252814-000000-041070,64.27
0009212,252815-000000-044160,165.2
0009242,252818-346500-001540,60.3
0009250,252818-346500-003600,60.3
0009255,252818-347000-000203,42.59
0009256,252818-347000-000801,39.74
0009297,252821-000000-031012,98.36
0009337,252821-000000-034250,46.51
0009345,252821-000000-034790,55
0009417,252824-350500-000180,234.46
0009476,252824-353600-003021,102.59
0009497,252824-353600-005032,215.33
0009519,252824-353602-002891,65.29
0009823,252913-000000-023090,53.39
0009848,252913-359300-021918,41.65
0009902,252915-360000-000280,56.13
0009909,252922-361000-001804,240.15
0009912,252922-361000-001810,201.58
0009913,252922-361000-001811,103.89
0009917,252922-361000-002520,243.59
0009921,252922-361000-002531,200.35
0009922,252922-361000-002532,219
0009925,252922-361000-003109,215.56
0009931,252922-361700-000191,238.71
0009935,252922-361700-000292,238.71
0009936,252922-361700-000301,238.71
0009940,252922-361700-000383,35.96
0009941,252922-361700-000432,242.01
0009950,252923-362000-003052,49.44
0009953,252923-362000-004070,223.96
0009957,252923-362000-004120,90.2
0010035,252932-000000-044050,120.39
0010056,252935-000000-012210,90.18
0010062,252935-000000-023010,244.29
0010116,253005-000000-012190,90.58
0010146,253005-367000-002120,159.2
0010165,253005-372000-000121,123.22
0010175,253005-374500-000013,52.19
0010178,253005-375000-018023,71.11
0010191,253005-380500-001041,92.68
0010192,253005-380500-001043,149.45
0010218,253005-381500-000810,147.76
0010231,253005-382500-000014,52.19
0010235,253005-383000-001120,163.81
0010241,253005-384000-000142,128.5
0010246,253005-384500-002090,215.91
0010248,253006-000000-014040,52.19
0010265,253006-000000-043080,50.17
0010279,253006-385600-009040,246.3
0010284,253006-386000-005000,225.71
0010285,253006-386000-009000,107.54
0010301,253006-387000-008121,52.19
0010313,253006-388500-000041,85.44
0010314,253006-388500-000042,76.62
0010339,253006-394093-000470,52.19
0010346,253007-394500-002201,110.64
0010367,253007-400000-010043,128.16
0010369,253007-400000-010046,78.9
0010415,253008-406500-012201,176.59
0010447,253008-414500-022052,204.25
0010464,253008-414500-043011,103.89
0010469,253008-414500-051041,144.27
0010477,253008-414500-054071,51.88
0010526,253009-000000-033410,127.95
0010553,253009-424000-007072,61.63
0010568,253009-424500-002160,96.42
0010612,253017-000000-014220,52.19
0010620,253017-000000-021300,54.48
0010627,253017-428500-008021,52.19
0010638,253017-429532-005201,103.89
0010652,253018-429800-001011,63.54
0010665,253018-429920-000892,52.19
0010685,253023-000000-042020,107.46
0010715,253104-000000-041020,113.87
0010726,253122-000000-023010,105.6
0010727,253122-000000-023100,117.44
0010757,253126-435500-007161,79.01
0010779,253127-449000-002013,254.08
0010840,253127-467000-010020,162.18
0010867,253127-472500-000051,1008.22
0010876,253130-000000-011020,41.47
0010877,253130-000000-012040,41.21
0010878,253130-000000-021020,55.43
0010879,253130-000000-033010,42.31
0010880,253130-000000-044010,35.78
0010881,253131-000000-022020,53.43
0010899,253134-474300-006050,613.75
0010936,253134-477000-028023,55.65
0010958,253134-479500-000070,322.74
0010967,253134-481000-000150,150.34
0010970,253134-482500-001110,113.06
0010978,253134-484500-002090,113.91
0011010,253210-000000-043140,40.75
0011014,253228-000000-041070,91.15
0011020,253233-000000-044040,108.29
0011021,253233-487000-001010,51.34
0011030,253233-488000-001101,74.25
0011034,253233-488000-003130,122.92
0011041,262501-000000-031050,45.85
0011162,262512-000000-011280,51.78
0011528,262527-000000-011110,39.28
0011530,262527-000000-013060,39.28
0011927,262619-000000-012120,37.36
0011928,262619-000000-012190,37.36
0011929,262619-000000-012210,44.58
0011931,262619-000000-012340,37.36
0011932,262619-000000-012420,37.36
0011933,262619-000000-012440,37.36
0011934,262619-000000-013090,37.36
0011935,262619-000000-013220,37.39
0011936,262619-000000-013290,44.58
0011937,262619-000000-013300,37.38
0011938,262619-000000-014040,37.43
0011940,262619-000000-014140,44.58
0011941,262619-000000-021080,37.36
0011943,262619-000000-021160,37.36
0011944,262619-000000-021220,37.36
0011947,262619-000000-022080,37.36
0011948,262619-000000-022220,37.36
0011950,262619-000000-022290,37.36
0011952,262619-000000-023250,37.36
0011954,262619-000000-024010,37.36
0011955,262619-000000-024090,37.36
0011957,262619-000000-024150,37.36
0011958,262619-000000-024240,37.36
0011959,262619-000000-024270,37.36
0011960,262619-000000-024300,37.36
0011961,262619-000000-024310,37.36
0011967,262619-000000-032020,44.58
0011969,262619-000000-032170,37.36
0011971,262619-000000-033050,37.36
0011972,262619-000000-033060,37.36
0011973,262619-000000-033160,37.36
0011974,262619-000000-033280,44.58
0011975,262619-000000-033290,37.36
0011976,262619-000000-033400,37.36
0011979,262619-000000-034030,38.22
0011981,262619-000000-034060,37.36
0011983,262619-000000-034120,38.22
0011984,262619-000000-034280,37.36
0011985,262619-000000-034290,37.36
0011986,262619-000000-034560,37.36
0011987,262619-000000-041020,44.58
0011988,262619-000000-041140,37.36
0011989,262619-000000-041160,37.36
0011990,262619-000000-041200,37.36
0011991,262619-000000-041230,37.36
0011992,262619-000000-041270,37.36
0011993,262619-000000-042010,37.36
0011994,262619-000000-042050,37.36
0011996,262619-000000-042290,37.36
0011997,262619-000000-042300,37.36
0012000,262619-000000-043280,37.36
0012003,262619-000000-044150,37.36
0012004,262619-000000-044190,37.36
0012005,262619-000000-044260,41.33
0012006,262620-000000-012090,37.36
0012008,262620-000000-012250,37.36
0012009,262620-000000-013050,44.58
0012010,262620-000000-013140,37.36
0012011,262620-000000-013170,37.36
0012014,262620-000000-014150,44.6
0012015,262620-000000-014160,37.36
0012017,262620-000000-014270,44.58
0012018,262620-000000-014280,37.36
0012019,262620-000000-014300,37.36
0012020,262620-000000-014340,37.36
0012021,262620-000000-021160,37.36
0012023,262620-000000-021230,37.36
0012024,262620-000000-021300,37.36
0012026,262620-000000-022010,36.5
0012027,262620-000000-022170,37.36
0012028,262620-000000-022210,37.36
0012029,262620-000000-022250,37.39
0012031,262620-000000-022290,37.36
0012032,262620-000000-023130,37.36
0012033,262620-000000-023250,44.58
0012034,262620-000000-023270,37.36
0012035,262620-000000-023280,37.36
0012038,262620-000000-024300,44.58
0012039,262620-000000-032060,37.36
0012042,262620-000000-033130,37.43
0012043,262620-000000-033320,37.36
0012044,262620-000000-034040,37.36
0012045,262620-000000-034320,37.36
0012046,262620-000000-041170,37.36
0012047,262620-000000-041180,37.36
0012048,262620-000000-041220,37.36
0012049,262620-000000-041240,37.36
0012051,262620-000000-041420,37.36
0012052,262620-000000-042310,37.36
0012053,262620-000000-042320,37.36
0012054,262620-000000-043010,37.36
0012055,262620-000000-043230,37.36
0012056,262620-000000-043250,44.58
0012057,262620-000000-043280,37.36
0012059,262620-000000-043300,37.36
0012061,262620-000000-044100,37.33
0012062,262620-000000-044180,44.53
0012063,262620-000000-044210,37.33
0012064,262620-000000-044240,37.36
0012065,262620-000000-044330,37.36
0012066,262620-000000-044340,37.36
0012187,262703-000000-022050,197.8
0012192,262704-488900-001030,86.59
0012193,262704-488900-009050,64.88
0012196,262706-000000-034080,40.28
0012197,262706-000000-034130,62.07
0012203,262710-000000-011060,38.36
0012204,262710-000000-011090,40.1
0012205,262710-000000-011100,37.62
0012206,262710-000000-011110,37.62
0012207,262710-000000-012060,37.58
0012208,262710-000000-013010,135.43
0012210,262710-000000-013050,40.62
0012216,262710-000000-031110,135.43
0012220,262710-000000-034070,37.62
0012259,262714-000000-014570,37.96
0012302,262720-000000-012010,56.22
0012314,262723-000000-043030,900.72
0012348,262726-000000-043070,39.15
0012440,262731-000000-034010,621.68
0012457,262732-503000-014010,59.93
0012458,262732-503000-017131,88.19
0012495,262732-513656-000010,465.47
0012585,262805-526000-000044,41.89
0012605,262806-526500-000130,77.39
0012779,262816-000000-033010,334.86
0012785,262816-000000-033150,243.49
0012788,262816-000000-034020,990.91
0012792,262816-000000-034100,174.08
0012794,262816-000000-034140,190.44
0012798,262816-000000-034180,81.42
0012805,262816-000000-034290,174.18
0012811,262816-537500-000080,210.83
0012887,262816-538500-000050,156.2
0012888,262816-538500-000080,228.4
0012895,262816-538500-000240,228.36
0012928,262816-539500-002041,185.84
0012929,262816-539500-002042,163.96
0012973,262816-541000-001040,775.27
0012974,262816-541000-001061,1119.28
0012975,262816-541000-001062,159.94
0012979,262816-541000-001120,1020.17
0013128,262819-551900-000131,273.01
0013184,262820-000000-011100,102.96
0013186,262820-000000-011200,80.35
0013207,262820-560000-000026,82.79
0013289,262821-580500-000076,36.71
0013307,262821-584100-008150,195.89
0013375,262823-588400-000210,60.81
0013429,262827-000000-014070,107.67
0013575,262829-632000-005111,148.49
0013589,262829-634050-003241,64.13
0013608,262830-634800-000033,80.24
0013617,262830-635000-007081,84.69
0013648,262830-639010-017142,77.68
0013651,262831-000000-013030,39.17
0013660,262831-000000-043070,74.45
0013668,262831-640600-000133,124.86
0013715,262832-648000-000131,93.67
0013735,262833-654500-000014,58.07
0013776,262834-660000-001992,71.16
0013785,262834-662000-000222,98.62
0013786,262834-662000-000251,96.79
0013895,262902-000000-031090,506.74
0013896,262902-000000-032010,55.34
0013913,262902-663685-000891,86.52
0013920,262904-664000-000014,152.04
0013942,262905-665500-001200,1877.95
0013950,262905-665500-003140,187.45
0013953,262905-665500-003170,8005.52
0013990,262905-669500-000151,74.6
0013991,262905-669500-000152,74.6
0013992,262905-669500-000162,838.3
0014011,262905-671000-000072,49.59
0014013,262905-671000-000211,206.2
0014027,262906-000000-042640,68.96
0014046,262906-674500-000950,203.54
0014125,262909-687042-000150,770.8
0014219,262916-689000-018726,643.94
0014268,262917-000000-042004,9655.89
0014294,262917-000000-043142,146.77
0014330,262917-689500-019214,5862.12
0014334,262917-689800-000201,240.18
0014349,262917-689921-000310,1268.43
0014421,262920-000000-012940,62.08
0014426,262920-000000-041040,37.44
0014497,262921-690500-023603,49.36
0014510,262921-690500-023712,67.96
0014519,262921-690500-025113,112.35
0014545,262921-690502-004780,72.78
0014551,262921-690503-002460,72.78
0014552,262921-690503-002510,72.78
0014629,262931-000000-024470,59.24
0014657,262933-691500-009170,59.13
0014659,262933-691500-010030,41.38
0014675,263005-000000-041030,208.03
0014712,263006-000000-041190,567.29
0014807,263017-000000-034050,50.41
0014812,263017-000000-043120,84.8
0014818,263017-000000-043330,84.8
0014822,263017-000000-043400,85.49
0014825,263018-000000-012020,103.6
0014835,263019-000000-012070,38.67
0014845,263020-000000-013040,41.09
0014905,263036-000000-012100,199.88
0014944,263105-000000-032060,39.35
0014968,263111-000000-043030,57.41
0015180,263225-000000-011010,697.57
0015258,272602-701017-000010,410.37
0015259,272602-701017-000020,410.37
0015260,272602-701017-000030,410.37
0015261,272602-701017-000040,410.37
0015262,272602-701017-000050,410.37
0015271,272602-701017-000680,410.37
0015272,272602-701017-000690,410.37
0015273,272602-701017-000700,410.37
0015274,272602-701017-000710,410.37
0015275,272602-701017-000720,410.37
0015276,272602-701017-000730,410.37
0015277,272602-701017-000740,410.37
0015278,272602-701017-000750,410.37
0015279,272602-701017-000760,410.37
0015280,272602-701017-000770,410.37
0015281,272602-701017-000780,410.37
0015282,272602-701017-000790,410.37
0015287,272602-701017-001240,410.37
0015289,272602-701017-001260,410.37
0015311,272604-000000-044020,39.2
0015312,272604-000000-044100,48.25
0015314,272604-701102-000250,98.75
0015578,272612-000000-014150,42.79
0015638,272614-000000-013010,88.68
0015655,272615-000000-034130,39.16
0015675,272616-000000-013170,48.31
0015676,272616-000000-014050,39.19
0015677,272616-000000-014070,39.21
0015678,272616-000000-014210,39.28
0015679,272616-000000-014220,39.26
0015822,272620-000000-012140,39.4
0015824,272620-000000-023060,48.61
0015917,272629-707010-000402,49.84
0015974,272632-709500-040075,36.85
0015975,272632-709500-040076,42.44
0015993,272634-000000-013150,214.28
0016009,272634-000000-042270,344.05
0016012,272634-000000-042420,65.51
0016013,272634-000000-042550,69.29
0016032,272702-713000-020200,66.17
0016035,272703-713500-010034,85.12
0016245,272709-000000-042200,90.64
0016298,272710-732000-003320,84.87
0016321,272711-734500-041402,86.79
0016322,272711-734500-041403,92.18
0016323,272711-734500-041406,86.79
0016324,272711-734500-041407,86.79
0016364,272713-000000-023040,87.39
0016365,272713-000000-023050,87.39
0016479,272719-744100-000021,97.25
0016480,272719-744100-000031,97.25
0016558,272720-749000-004090,541.64
0016607,272721-749500-022306,141.21
0016620,272721-751000-010002,48.23
0016624,272721-751500-009150,48.49
0016625,272721-751500-009170,48.49
0016626,272721-751500-009190,60.72
0016652,272721-752500-001020,141.39
0016653,272721-752500-001040,1003.46
0016654,272721-752500-001110,139.1
0016655,272721-752500-001130,55.65
0016657,272721-752500-002070,144.07
0016659,272721-752500-003010,141.18
0016668,272721-753000-000320,397.83
0016677,272721-753000-000470,833.13
0016693,272721-753500-004010,126.34
0016721,272721-753500-010141,101.4
0016729,272721-753500-013150,135.08
0016752,272721-755000-008030,97.94
0016762,272721-756000-001103,1715.3
0016768,272721-756000-002260,1472.9
0016789,272721-756000-010070,410.79
0016884,272725-000000-011780,96.06
0016900,272725-000000-031180,65.55
0016969,272726-758516-001060,99.78
0016970,272726-758516-001070,99.78
0016971,272726-758516-001080,99.78
0016973,272726-758516-001100,99.78
0016974,272726-758516-001110,99.78
0016975,272726-758516-001120,99.78
0016976,272726-758516-001130,99.78
0016977,272726-758516-001140,99.78
0016978,272726-758516-001150,99.78
0016979,272726-758516-001160,99.78
0016980,272726-758516-001170,99.78
0016981,272726-758516-001180,99.78
