AdvNum,Parcel,Face Amount
0001101,151016-05611670-0000,82.85
0001104,151016-05611780-0000,109.54
0001105,151016-05611960-0000,132.22
0001106,151016-05611980-0000,749.94
0001108,151016-05612030-0000,252.38
0001109,151016-05612040-0000,77.63
0001110,151016-05612210-0000,77.63
0001114,151016-05613180-0000,146
0001115,151016-05613190-0000,66.27
0001116,151016-05613200-0000,385.49
0001124,151016-05630000-0106,56.98
